timestamp,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
2026-08-08T16:43:34.210244+00:00,1,1,35,59,3166,6043,0,0,0,0
2026-08-08T16:43:34.210244+00:00,1,2,35,59,3166,6043,0,0,0,0
2026-08-08T16:43:39.213650+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:43:39.213650+00:00,1,1,35,59,3166,6043,0,0,0,0
2026-08-08T16:43:39.213650+00:00,1,2,35,59,3166,6043,0,0,0,0
2026-08-08T16:43:44.213557+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:43:44.213557+00:00,1,1,35,60,3166,6113,0,0,0,0
2026-08-08T16:43:44.213557+00:00,1,2,35,59,3166,6043,0,0,0,0
2026-08-08T16:43:49.218120+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:43:49.218120+00:00,1,1,35,60,3166,6113,0,0,0,0
2026-08-08T16:43:49.218120+00:00,1,2,35,59,3166,6043,0,0,0,0
2026-08-08T16:43:54.219736+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:43:54.219736+00:00,1,1,35,60,3166,6113,0,0,0,0
2026-08-08T16:43:54.219736+00:00,1,2,35,60,3166,6113,0,0,0,0
2026-08-08T16:43:59.220432+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:43:59.220432+00:00,1,1,35,60,3166,6113,0,0,0,0
2026-08-08T16:43:59.220432+00:00,1,2,35,60,3166,6113,0,0,0,0
2026-08-08T16:44:04.223686+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:04.223686+00:00,1,1,35,62,3166,6290,0,0,0,0
2026-08-08T16:44:04.223686+00:00,1,2,36,61,3236,6220,0,0,0,0
2026-08-08T16:44:09.226224+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:09.226224+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:09.226224+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:14.225578+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:14.225578+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:14.225578+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:19.229753+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:19.229753+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:19.229753+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:24.231726+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:24.231726+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:24.231726+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:29.232878+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:29.232878+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:29.232878+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:34.234307+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:34.234307+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:34.234307+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:39.233651+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:39.233651+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:39.233651+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:44.238732+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:44.238732+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:44.238732+00:00,1,2,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:49.240363+00:00,1,4294967294,0,0,0,0,0,0,0,0
2026-08-08T16:44:49.240363+00:00,1,1,36,62,3236,6290,0,0,0,0
2026-08-08T16:44:49.240363+00:00,1,2,36,62,3236,6290,0,0,0,0
