timestamp,dpid,port,is_anomalous,mse,predicted_anomaly
2026-08-29 22:17:47.765506+00:00,2,3,0,31.812323,1
2026-08-29 22:17:55.306642+00:00,2,3,0,2.732614,0
2026-08-29 22:17:59.585343+00:00,2,3,1,3.4848862,0
2026-08-29 22:18:04.128421+00:00,2,3,1,4.46241,0
2026-08-29 22:18:38.114802+00:00,2,3,0,28.414936,1
2026-08-29 22:18:41.438633+00:00,2,3,1,24.64804,1
2026-08-29 22:17:42.516511+00:00,2,4,0,15.585062,1
2026-08-29 22:17:47.765506+00:00,2,4,0,15.601061,1
2026-08-29 22:17:55.306642+00:00,2,4,0,0.7180188,0
2026-08-29 22:17:59.585343+00:00,2,4,0,0.17634597,0
2026-08-29 22:18:04.128421+00:00,2,4,0,5.65884,1
2026-08-29 22:18:38.114802+00:00,2,4,0,17.015923,1
2026-08-29 22:18:41.438633+00:00,2,4,1,60.223907,1
2026-08-29 22:10:06.505131+00:00,3,1,0,4.638498,0
2026-08-29 22:10:09.680877+00:00,3,1,1,7.3103952,1
2026-08-29 22:10:18.080775+00:00,3,1,0,2.2896848,0
2026-08-29 22:17:37.413099+00:00,3,1,0,31.878315,1
2026-08-29 22:17:42.534085+00:00,3,1,0,32.592327,1
2026-08-29 22:17:47.705010+00:00,3,1,0,32.063347,1
2026-08-29 22:17:54.239037+00:00,3,1,0,2.1375926,0
2026-08-29 22:17:58.800815+00:00,3,1,1,2.4516358,0
2026-08-29 22:18:03.558392+00:00,3,1,1,3.773257,0
2026-08-29 22:18:10.568814+00:00,3,1,0,18.212132,1
2026-08-29 22:18:14.816972+00:00,3,1,1,19.512342,1
2026-08-29 22:18:21.050988+00:00,3,1,1,18.513596,1
2026-08-29 22:18:33.293280+00:00,3,1,0,22.690163,1
2026-08-29 22:18:37.285582+00:00,3,1,1,19.511013,1
2026-08-29 22:18:37.965772+00:00,3,1,1,842.8215,1
2026-08-29 22:10:06.505131+00:00,3,2,0,0.085620716,0
2026-08-29 22:10:09.680877+00:00,3,2,0,0.086881876,0
2026-08-29 22:10:18.080775+00:00,3,2,0,0.083158165,0
2026-08-29 22:17:37.413099+00:00,3,2,0,15.589992,1
2026-08-29 22:17:42.534085+00:00,3,2,0,15.58461,1
2026-08-29 22:17:47.705010+00:00,3,2,0,15.600975,1
2026-08-29 22:17:54.239037+00:00,3,2,0,0.71807075,0
2026-08-29 22:17:58.800815+00:00,3,2,0,0.17634237,0
2026-08-29 22:18:03.558392+00:00,3,2,0,5.295263,1
2026-08-29 22:18:10.568814+00:00,3,2,0,26.001516,1
2026-08-29 22:18:14.816972+00:00,3,2,1,43.612175,1
2026-08-29 22:18:21.050988+00:00,3,2,1,29.240026,1
2026-08-29 22:18:33.293280+00:00,3,2,0,20.373508,1
2026-08-29 22:18:37.285582+00:00,3,2,1,44.06858,1
2026-08-29 22:18:37.965772+00:00,3,2,1,843.96747,1
