timestamp,dpid,port,interval_seconds,rx_packets_delta,tx_packets_delta,rx_bytes_delta,tx_bytes_delta,rx_dropped_delta,tx_dropped_delta,rx_errors_delta,tx_errors_delta,throughput_bps,packet_rate_pps
2026-08-08 16:44:54.241108+00:00,1,1,,,,,,,,,,,
2026-08-08 16:44:59.242162+00:00,1,1,5.001054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:04.244797+00:00,1,1,5.002635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:09.247502+00:00,1,1,5.002705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:14.250706+00:00,1,1,5.003204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:19.249852+00:00,1,1,4.999146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:24.249789+00:00,1,1,4.999937,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,112.00141121778134,0.2000025200317524
2026-08-08 16:45:29.252748+00:00,1,1,5.002959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:34.254222+00:00,1,1,5.001474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:39.254511+00:00,1,1,5.000289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:44.257223+00:00,1,1,5.002712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:49.262308+00:00,1,1,5.005085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:54.263164+00:00,1,1,5.000856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:45:59.264059+00:00,1,1,5.000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:04.265352+00:00,1,1,5.001293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:09.268823+00:00,1,1,5.003471,0.0,1.0,0.0,107.0,0.0,0.0,0.0,0.0,171.08123540638087,0.19986125631586552
2026-08-08 16:46:14.271864+00:00,1,1,5.003041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:19.274909+00:00,1,1,5.003045,1.0,1.0,70.0,70.0,0.0,0.0,0.0,0.0,111.93183351339034,0.1998782741310542
2026-08-08 16:46:24.275297+00:00,1,1,5.000388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:29.277263+00:00,1,1,5.001966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:34.281013+00:00,1,1,5.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:39.283160+00:00,1,1,5.002147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:44.284284+00:00,1,1,5.001124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:49.285358+00:00,1,1,5.001074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:54.286259+00:00,1,1,5.000901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:46:59.288809+00:00,1,1,5.00255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:04.292714+00:00,1,1,5.003905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:09.298470+00:00,1,1,5.005756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:14.301246+00:00,1,1,5.002776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:19.304637+00:00,1,1,5.003391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:24.309115+00:00,1,1,5.004478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:29.311846+00:00,1,1,5.002731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:34.312761+00:00,1,1,5.000915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:39.317391+00:00,1,1,5.00463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:44.318849+00:00,1,1,5.001458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:49.320859+00:00,1,1,5.00201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:54.323523+00:00,1,1,5.002664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:47:59.324636+00:00,1,1,5.001113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:04.325333+00:00,1,1,5.000697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:09.330383+00:00,1,1,5.00505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:14.332827+00:00,1,1,5.002444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:19.336349+00:00,1,1,5.003522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:24.341433+00:00,1,1,5.005084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:29.344255+00:00,1,1,5.002822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:34.347350+00:00,1,1,5.003095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:39.350122+00:00,1,1,5.002772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:44.351956+00:00,1,1,5.001834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:49.356589+00:00,1,1,5.004633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:48:54.358270+00:00,1,1,5.001681,0.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,111.96235825515463,0.1999327825984904
2026-08-08 16:48:59.362111+00:00,1,1,5.003841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:49:04.366228+00:00,1,1,5.004117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:49:09.368947+00:00,1,1,5.002719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-08 16:49:14.373804+00:00,1,1,5.004857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
